Longitude,Latitude,OBJECTID,IPEDSID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,STFIPS,COFIPS,SECTOR,LEVEL_,HI_OFFER,DEG_GRANT,LOCALE,CLOSE_DATE,MERGE_ID,ALIAS,SIZE_SET,INST_SIZE,PT_ENROLL,FT_ENROLL,TOT_ENROLL,HOUSING,DORM_CAP,TOT_EMP,SHELTER_ID
-111.0641425,45.65552446,2225,262165,MONTANA BIBLE COLLEGE,3625 S 19TH AVE,BOZEMAN,MT,59718,NOT AVAILABLE,(406) 586-3585,2,A,-999,GALLATIN,30031,USA,45.65552446,-111.0641425,611310,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",https://nces.ed.gov/GLOBALLOCATOR/col_info_popup.asp?ID=262165,2013-11-04T00:00:00.000Z,IMAGERY,2016-05-18T00:00:00.000Z,www.montanabiblecollege.edu,30,31,2,1,5,1,41,-2,-2,NOT AVAILABLE,7,1,-999,-999,-999,1,68,-999,NOT AVAILABLE
-113.98294,46.861074,2247,180489,THE UNIVERSITY OF MONTANA,"MISSOULA, MONTANA",MISSOULA,MT,59812,NOT AVAILABLE,(406) 243-0211,1,A,14878,MISSOULA,30063,USA,46.861074,-113.98294,611310,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",https://nces.ed.gov/GLOBALLOCATOR/col_info_popup.asp?ID=180489,2009-12-31T00:00:00.000Z,IMAGERY,2015-11-20T00:00:00.000Z,www.umt.edu,30,63,1,1,9,1,13,-2,-2,UNIVERSITY OF MONTANA,16,4,3371,9048,12419,1,3430,2459,NOT AVAILABLE
-113.01473,48.556728,2943,180054,BLACKFEET COMMUNITY COLLEGE,504 S. EAST BOUNDARY,BROWNING,MT,59417,NOT AVAILABLE,(406) 338-5441 EXT 2201,2,A,575,GLACIER,30035,USA,48.556728,-113.01473,611210,JUNIOR COLLEGES,https://nces.ed.gov/GLOBALLOCATOR/col_info_popup.asp?ID=180054,2009-12-31T00:00:00.000Z,IMAGERY,2016-06-02T00:00:00.000Z,bfcc.edu,30,35,5,2,3,1,41,-2,-2,BCC,1,1,69,356,425,2,-999,150,NOT AVAILABLE
-106.66459,45.625559,2944,180160,CHIEF DULL KNIFE COLLEGE,1 COLLEGE DRIVE,LAME DEER,MT,59043,NOT AVAILABLE,(406) 477-6215 EXT 100,1,A,222,ROSEBUD,30087,USA,45.625559,-106.66459,611310,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",https://nces.ed.gov/GLOBALLOCATOR/col_info_popup.asp?ID=180160,2009-12-31T00:00:00.000Z,IMAGERY,2016-06-02T00:00:00.000Z,cdkc.edu,30,87,4,2,3,1,43,-2,-2,NOT AVAILABLE,1,1,78,90,168,2,-999,54,NOT AVAILABLE
-108.523009,45.79689588,2945,180179,MONTANA STATE UNIVERSITY-BILLINGS,1500 UNIVERSITY DRIVE,BILLINGS,MT,59101,NOT AVAILABLE,(406) 657-2011,1,A,4998,YELLOWSTONE,30111,USA,45.79689588,-108.523009,611310,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",https://nces.ed.gov/GLOBALLOCATOR/col_info_popup.asp?ID=180179,2009-10-13T00:00:00.000Z,IMAGERY,2016-06-10T00:00:00.000Z,www.msubillings.edu,30,111,1,1,7,1,12,-2,-2,MSU BILLINGS,12,2,1693,2669,4362,1,630,636,NOT AVAILABLE
-105.193021,48.113569,2946,180212,FORT PECK COMMUNITY COLLEGE,605 INDIAN STREET,POPLAR,MT,59255,NOT AVAILABLE,(406) 768-6300,1,A,474,ROOSEVELT,30085,USA,48.113569,-105.193021,611210,JUNIOR COLLEGES,https://nces.ed.gov/GLOBALLOCATOR/col_info_popup.asp?ID=180212,2009-12-31T00:00:00.000Z,IMAGERY,2016-06-02T00:00:00.000Z,www.fpcc.edu,30,85,4,2,3,1,33,-2,-2,NOT AVAILABLE,1,1,177,208,385,1,20,89,NOT AVAILABLE
-112.0160349,46.59538385,2947,180276,HELENA COLLEGE UNIVERSITY OF MONTANA,1115 N ROBERTS STREET,HELENA,MT,59601,NOT AVAILABLE,(406) 447-6900,1,A,1612,LEWIS AND CLARK,30049,USA,46.59538385,-112.0160349,611210,JUNIOR COLLEGES,https://nces.ed.gov/GLOBALLOCATOR/col_info_popup.asp?ID=180276,2009-10-13T00:00:00.000Z,IMAGERY,2016-06-13T00:00:00.000Z,www.umhelena.edu,30,49,4,2,3,1,33,-2,-2,HELENA COLLEGE UM.,2,2,856,540,1396,2,-999,216,NOT AVAILABLE
-107.455418,45.603777,2948,180328,LITTLE BIG HORN COLLEGE,8645 SOUTH WEAVER DRIVE,CROW AGENCY,MT,59022,NOT AVAILABLE,(406) 638-3100 EXT 101,1,A,310,BIG HORN,30003,USA,45.603777,-107.455418,611310,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",https://nces.ed.gov/GLOBALLOCATOR/col_info_popup.asp?ID=180328,2009-12-31T00:00:00.000Z,IMAGERY,2016-06-02T00:00:00.000Z,www.lbhc.edu/,30,3,4,2,3,1,43,-2,-2,NOT AVAILABLE,1,1,58,165,223,2,-999,87,NOT AVAILABLE
-114.107191,47.596864,2949,180647,SALISH KOOTENAI COLLEGE,58138 US  HIGHWAY 93,PABLO,MT,59855,NOT AVAILABLE,(406) 275-4800,2,A,1048,LAKE,30047,USA,47.596864,-114.107191,611310,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",https://nces.ed.gov/GLOBALLOCATOR/col_info_popup.asp?ID=180647,2009-12-31T00:00:00.000Z,IMAGERY,2016-06-03T00:00:00.000Z,www.skc.edu,30,47,2,1,5,1,42,-2,-2,SKC,6,1,172,687,859,1,125,189,NOT AVAILABLE
-111.2701673,47.4902788,3197,180258,UNIVERSITY OF GREAT FALLS,1301 TWENTIETH ST S,GREAT FALLS,MT,59405,NOT AVAILABLE,(406) 761-8210,2,A,1176,CASCADE,30013,USA,47.4902788,-111.2701673,611310,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",https://nces.ed.gov/GLOBALLOCATOR/col_info_popup.asp?ID=180258,2009-10-13T00:00:00.000Z,IMAGERY/OTHER,2015-11-09T00:00:00.000Z,www.ugf.edu,30,13,2,1,7,1,13,-2,-2,NOT AVAILABLE,7,1,452,505,957,1,415,219,NOT AVAILABLE
-109.6864569,48.54105359,3198,180522,MONTANA STATE UNIVERSITY-NORTHERN,300 W 11TH ST,HAVRE,MT,59501,NOT AVAILABLE,(406) 265-3700,1,A,1430,HILL,30041,USA,48.54105359,-109.6864569,611310,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",https://nces.ed.gov/GLOBALLOCATOR/col_info_popup.asp?ID=180522,2009-10-13T00:00:00.000Z,IMAGERY/OTHER,2016-06-29T00:00:00.000Z,www.msun.edu,30,41,1,1,7,1,33,-2,-2,NOT AVAILABLE,9,2,314,893,1207,1,373,223,NOT AVAILABLE
-112.0406298,46.60211334,3199,180106,CARROLL COLLEGE,1601 N BENTON AVE,HELENA,MT,59625,NOT AVAILABLE,(406) 447-4300,2,A,1684,LEWIS AND CLARK,30049,USA,46.60211334,-112.0406298,611310,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",https://nces.ed.gov/GLOBALLOCATOR/col_info_popup.asp?ID=180106,2009-10-13T00:00:00.000Z,IMAGERY/OTHER,2016-06-29T00:00:00.000Z,www.carroll.edu,30,49,2,1,5,1,33,-2,-2,CARROLL MONTANA |CC,11,2,56,1324,1380,1,983,304,NOT AVAILABLE
-109.8703319,48.28983869,3419,366340,STONE CHILD COLLEGE,8294 UPPER BOX ELDER ROAD,BOX ELDER,MT,59521,NOT AVAILABLE,(406) 395-4313 EXT 264,1,A,602,CHOUTEAU,30015,USA,48.28983869,-109.8703319,611310,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",https://nces.ed.gov/GLOBALLOCATOR/col_info_popup.asp?ID=366340,2009-12-31T00:00:00.000Z,IMAGERY,2016-06-06T00:00:00.000Z,www.stonechild.edu,30,15,4,2,3,1,43,-2,-2,SCC,1,1,380,164,544,2,-999,58,NOT AVAILABLE
-111.3037189,47.49848666,3985,457749,MONTANA ACADEMY OF SALONS,501 2ND ST S,GREAT FALLS,MT,59405,NOT AVAILABLE,(406) 771-8772 EXT 4,3,A,81,CASCADE,30013,USA,47.49848666,-111.3037189,611511,COSMETOLOGY AND BARBER SCHOOLS,https://nces.ed.gov/GLOBALLOCATOR/col_info_popup.asp?ID=457749,2013-06-25T00:00:00.000Z,IMAGERY/OTHER,2015-11-20T00:00:00.000Z,montanabeautyschool.com,30,13,6,2,4,2,13,-2,-2,MONTANA ACADEMY,-2,1,-999,69,69,2,-999,12,NOT AVAILABLE
-108.7579012,48.48416977,14,180203,AANIIIH NAKODA COLLEGE,269 BLACKFEET AVENUE AGENCY,HARLEM,MT,59526,NOT AVAILABLE,(406) 353-2607,1,A,213,BLAINE,30005,USA,48.48416977,-108.7579012,611310,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",https://nces.ed.gov/GLOBALLOCATOR/col_info_popup.asp?ID=180203,2009-12-31T00:00:00.000Z,IMAGERY/OTHER,2015-10-13T00:00:00.000Z,www.ancollege.edu,30,5,4,2,3,1,43,-2,-2,NOT AVAILABLE,1,1,35,114,149,2,-999,64,NOT AVAILABLE
-111.0397683,45.6805045,25,179991,ACADEMY OF COSMETOLOGY,133 W MENDENHALL,BOZEMAN,MT,59715,3544,(406) 587-1264,3,A,39,GALLATIN,30031,USA,45.6805045,-111.0397683,611511,COSMETOLOGY AND BARBER SCHOOLS,https://nces.ed.gov/GLOBALLOCATOR/col_info_popup.asp?ID=179991,2009-10-13T00:00:00.000Z,IMAGERY/OTHER,2015-10-14T00:00:00.000Z,www.academycosmetology.com,30,31,6,2,4,2,33,-2,-2,NOT AVAILABLE,-2,1,-999,35,35,2,-999,4,NOT AVAILABLE
-114.3272578,48.22738927,514,180197,FLATHEAD VALLEY COMMUNITY COLLEGE,777 GRANDVIEW DR,KALISPELL,MT,59901,NOT AVAILABLE,(406) 756-3822,1,A,2621,FLATHEAD,30029,USA,48.22738927,-114.3272578,611210,JUNIOR COLLEGES,https://nces.ed.gov/GLOBALLOCATOR/col_info_popup.asp?ID=180197,2009-10-13T00:00:00.000Z,IMAGERY/OTHER,2016-07-07T00:00:00.000Z,www.fvcc.edu,30,29,4,2,3,1,41,-2,-2,NOT AVAILABLE,2,2,1273,993,2266,2,-999,355,10775449
-114.1594487,46.27347519,558,457721,BITTERROOT SCHOOL OF COSMETOLOGY,2079 N FIRST ST STE B,HAMILTON,MT,59840,NOT AVAILABLE,(406) 363-3355,3,A,26,RAVALLI,30081,USA,46.27347519,-114.1594487,611511,COSMETOLOGY AND BARBER SCHOOLS,https://nces.ed.gov/GLOBALLOCATOR/col_info_popup.asp?ID=457721,2013-06-25T00:00:00.000Z,IMAGERY/OTHER,2016-05-23T00:00:00.000Z,bitterrootschoolofcosmetology.com,30,81,6,2,4,2,33,-2,-2,NOT AVAILABLE,-2,1,-999,22,22,2,-999,4,NOT AVAILABLE
