FID,Shape *,OBJECTID,SITEID,NAME,SITENUM,FWPREG,ACRES,WEB_PAGE,CAMPING,BOAT_FAC,HUNTING,HUNT_RESTR,Shape__Are,Shape__Len,PDFMAP
41,Polygon,149,280880,Frenchtown Pond,2549,2,46.68086,http://stateparks.mt.gov/frenchtown-pond,No,No Boat Facilities,NO HUNTING/NO TRAPPING,NO HUNTING/NO TRAPPING,406830.4531,2912.112565, 
42,Polygon,150,280883,Granite Ghost Town,2550,2,0.225612,http://stateparks.mt.gov/granite-ghost-town,No,No Boat Facilities,NO HUNTING/NO TRAPPING,NO HUNTING/NO TRAPPING,1915.46875,185.532981, 
43,Polygon,151,280895,Placid Lake,2555,2,30.913839,http://stateparks.mt.gov/placid-lake,Yes,"Ramp (Concrete), Dock",NO HUNTING/NO TRAPPING,NO HUNTING/NO TRAPPING,270368.7969,4253.742049, 
44,Polygon,152,280904,Salmon Lake,2556,2,42.104961,http://stateparks.mt.gov/salmon-lake,Yes,"Ramp (Concrete), Dock",NO HUNTING/NO TRAPPING,NO HUNTING/NO TRAPPING,367863.2891,4698.516317, 
45,Polygon,153,280907,Council Grove,2560,2,187.321574,http://stateparks.mt.gov/council-grove,No,No Boat Facilities,HUNTING ALLOWED,Refer to current hunting regulations for hunting and weapons restrictions.,1625644.047,7692.094925, 
46,Polygon,154,280918,Anaconda Smoke Stack,2576,2,12.939624,http://stateparks.mt.gov/anaconda-smoke-stack,No,No Boat Facilities,NO HUNTING/NO TRAPPING,NO HUNTING/NO TRAPPING,109037.6875,1824.323472, 
47,Polygon,155,283286,Pictograph Cave,5516,5,36.713368,http://stateparks.mt.gov/pictograph-cave,No,No Boat Facilities,NO HUNTING/NO TRAPPING,NO HUNTING/NO TRAPPING,305225.8477,12077.3475, 
48,Polygon,156,283293,Cooney,5541,5,324.773834,http://stateparks.mt.gov/cooney,Yes,"Dock, Ramp (unspecified), Hookup, Ramp (Concrete)",NO HUNTING/NO TRAPPING,NO HUNTING/NO TRAPPING,2670983.695,25283.88086, 
49,Polygon,157,283312,Greycliff Prairie Dog Town,5552,5,97.893797,http://stateparks.mt.gov/greycliff-prairie-dog-town,No,No Boat Facilities,NO HUNTING/NO TRAPPING,NO HUNTING/NO TRAPPING,814407.6055,4266.877141, 
50,Polygon,158,283333,Lake Elmo,5570,5,122.398801,http://stateparks.mt.gov/lake-elmo,No,Ramp (Concrete),NO HUNTING/NO TRAPPING,NO HUNTING/NO TRAPPING,1021244.398,4461.81521, 
51,Polygon,159,283890,Makoshika,7500,7,11498.22491,http://stateparks.mt.gov/makoshika,Yes,No Boat Facilities,HUNTING ALLOWED,Refer to current hunting regulations for hunting and weapons restrictions.,100321863.4,66445.88206, 
52,Polygon,160,283951,Medicine Rocks,7501,7,331.789827,http://stateparks.mt.gov/medicine-rocks,Yes,No Boat Facilities,HUNTING ALLOWED,Refer to current hunting regulations for hunting and weapons restrictions.,2788896.125,8470.73632, 
